"Table 6.1: Key activities proposed for soil and water conservation in MWS-026","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,"6. Soil conservation practices - Grass Land (60˚ - 70˚)",,"On","7.105595","80.857437","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","125,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,945,000.00",,,,,,,,,,,,
"4","514C","Mulhalkele","1. Soil conservation practices - The Water Catchment area above Kurundu Oya Bridge (80˚ - 90˚)",,"On","7.09634","80.85577","4 ha","Live fencing/SALT, tree planting and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - The Water Catchment area above Mulhalkelegama Kurundu Oya  (50˚ - 60˚)",,"On","7.09865","80.85592","8 ha","Live fencing/SALT, tree planting  and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Renovation of natural drains - Aliya vatuna Ela",,"Off","7.10574","80.85807","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Canal From Walapane Hospital to Subodagama Mr. R.R.Karunarathna's House",,"Off","7.10293","80.85977","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Subodagama gamameda Kandura",,"Off","7.10277","80.85999","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Renovation of natural drains - Ulmolliya Kandura",,"Off","7.11055","80.85978","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"7. Renovation of natural drains - Welipita Kandura",,"Off","7.11100","80.85908","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"8. Establishing a concrete culvert - Main Road from Kumbalgamuwa to Muhalkele","Landslide","Off","7.1023","80.85745","7.0 m long, 900 mm Ø concrete pipes","Concrete culvert",,"100,000.00","Labour and other basic services by the Local community","0.25 Years"
