No.,GND No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Add.Coordinates,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),Total Cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
36,950,Uduwela Pallegama West,3. Improving drainage facility of Galpoththa Hena Road,1,1,7.24914,80.65622,,0.6 km x 0.5 m x 0.5 m,Drains,"3,000.00 m-3","450,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
37,950,Uduwela Pallegama West,4. Soil and water conservation in lands near Galpoththa Hena Road (35°),3,1,7.25082,80.65671,,4 ha,Lock and spills,400.00 m-1,"1,600,000.00",,,1 Year
38,950,Uduwela Pallegama West,5. Development of Kalagolla Road (Middle of the village)/Building up of stone layered drain,2,1,7.25021,80.65466,,0.25 km x 0.5 m x 0.5 m,Drains,"3,000.00 m-3","187,500.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
39,950,Uduwela Pallegama West,"6. Homegarden neer Beerawala Oya, 70°, ",1,1,7.24877,80.65364,,0.4 ha,"Live fencing/SALT
Stone terracing, as applied",250.00 m-1,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
40,950,Uduwela Pallegama West,"7. A Leader Drain with a culvert for the home garden at Nagahalanda, 45°, 3 ac land",2,1,7.24837,80.65436,,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000.00","2,907,500.00",Labour and other basic services by the Local community/ Shramadana,0.25 Years
41,951,Ratemulla,"1. Soil and water conservation measures in 'Janaudanaya', Hanthana Rajamaha Viharaya, 20°",2,1,7.24539,80.64867,,6 ha,"Lock and spills
Live fencing/SALT","400.00 m-1
250.00 m-1","2400000
1500000",,"Labour and other basic services by the Local community
Guidance by NRMC ","0.5 Years
0.25 Years"
42,951,Ratemulla,"2. Establishing four (04) Retaining Walls (25 m x 4), 7.5 m height",4,1,7.2454,80.64896,,100 m x 7.5 m,Retaining Wall using stones,"2,000.00 m-2","750,000.00",,Funds by the Project,0.5 Years
43,951,Ratemulla,"(W.G. Premadasa, W.G. Dayavansha, O.W. Sumith Kumara and N.K. Jayasinghe)",2,2,7.24539,80.64866,,,,,,"4,650,000.00",Labour and other basic services by the Local community,
44,951,Ratemulla,,2,3,7.24539,80.64867,,,,,,,,
45,951,Ratemulla,,3,4,7.2424,80.64796,,,,,,,,
46,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,5,1,7.2563,80.65946,,56 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"5,600,000.00",,Labour and other basic services by the Local community/ Shramadana,2 Years
47,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,4,2,7.25637737,80.65907082,,,,,,,,
48,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,5,3,7.25677101,80.65857662,,,,,,,,
49,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,4,4,7.25701782,80.65771305,,,,,,,,
50,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,4,5,7.25718828,80.65728332,,,,,,,,
51,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,4,6,7.25723166,80.65695816,,,,,,,,
52,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,5,7,7.25781993,80.65578102,,,,,,,,
53,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,5,8,7.25878343,80.65510113,,,,,,,,
54,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,5,9,7.25909613,80.65398323,,,,,,,,
55,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,5,10,7.25943291,80.65284147,,,,,,,,
56,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,4,11,7.25944484,80.65246804,,,,,,,,
57,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,3,12,7.2581401,80.65184548,,,,,,,,
58,952,Monarangala,2. Retaining Wall 1 (New Dodamgahawatte),4,1,7.25620457,80.65982042,,75 m x 4 m,Retaining Wall using stones,"2,000.00 m-2","300,000.00",,Guidance by NRMC,0.25 Years
59,952,Monarangala,3. Retaining Wall 2 (Silverthenne Community Center),5,1,7.26010656,80.65520438,,60 m x 5 m,Retaining Wall using stones,"2,000.00 m-2","300,000.00","6,200,000.00",Funds by the Project,0.25 Years
60,953,Wathuliyadda,1. Rennovation of ten (10) Leader Drains,2,1,7.260916667,80.66411111,,11.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"1,150,000.00",,Labour and other basic services by the Local community,2 Years
61,953,Wathuliyadda,1. Rennovation of ten (10) Leader Drains,5,2,7.260944444,80.67166667,,,,,,,,
62,953,Wathuliyadda,1. Rennovation of ten (10) Leader Drains,3,3,7.260833333,80.65363889,,,,,,,,
63,953,Wathuliyadda,1. Rennovation of ten (10) Leader Drains,1,4,7.262638889,80.67155556,,,,,,,,
64,953,Wathuliyadda,1. Rennovation of ten (10) Leader Drains,4,5,7.262388889,80.67666667,,,,,,,,
65,953,Wathuliyadda,1. Rennovation of ten (10) Leader Drains,4,6,7.252769444,80.6645,,,,,,,,
66,953,Wathuliyadda,1. Rennovation of ten (10) Leader Drains,1,7,7.262861111,80.65966667,,,,,,,,
67,953,Wathuliyadda,1. Rennovation of ten (10) Leader Drains,1,8,7.261888889,80.66116667,,,,,,,,
