"Table 5.3: Key activities proposed for soil and water conservation in MWS-003","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,"N or X","E or Y",,,,,,
"8","953","Wathuliyadda","1. Renovation of ten (10) Leader Drains","1","7.260916667","80.66411111","11.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"1,150,000","Labour and other basic services by the Local community/ Sharamadana","2 Years"
,,,,"5","7.260944444","80.67166667",,,,,,
,,,,"3","7.260833333","80.65363889",,,,,,
,,,,"3","7.262638889","80.67155556",,,,,,
,,,,"5","7.262388889","80.676667",,,,,,
,,,,"5","7.2527694","80.6645",,,,,,
,,,,"5","7.262861111","80.65966667",,,,,,
,,,,"1","7.261888889","80.66116667",,,,,,
,,,,"2","7.261472222","80.64766667",,,,,,
,,,,"2","7.261777778","80.64766667",,,,,,
,,,"2. Establishing a Retaining Wall, M.G. Weerathunga, 65°","5","7.260583333","80.64811111","10 m x 3 m","Retaining Wall (Concrete)",,"1,171,500","By the project","0.25 Years"
"Sub Total","2,321,500",,,,,,,,,,,
"9","954","Uduwelawaththa","1. Development of five (05) Leader Drains","1","7.257267.257077.25692","80.63435 80.63318 80.63315","12.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"1,250,000","Labour and other basic services by the Local community/ Shramadana","1 Year"
,,,,"5","7.2565277787.256444","80.63283333 80.63275",,,,,,
,,,,"1","7.256361111","80.6375",,,,,,
,,,,"3","7.25525","80.64230556",,,,,,
,,,,"1","7.253","80.63619444",,,,,,
,,,"2. Establishment of Retaining Wall (Mr. Chaminda Wijekoon, Uduwelwatte), 70°","4","7.253805556","80.63527778","7 m x 3 m","Retaining Wall (Concrete)",,"825,000","By the project","0.25 Years"
"Sub Total","2,075,000",,,,,,,,,,,
"10","955","Galthenna","1. Renovation of four (04) Leader Drains","1","7.25681","80.64975","2.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"250,000","Labour and other basic services by the Local community/ Shramadana","1 Year"
,,,,"1","7.25552","80.64779",,,,,,
,,,,"1","7.25499","80.64793",,,,,,
,,,,"1","7.256638889","80.64491667",,,,,,
,,,"2. Establishing a Side/Retaining Wall for Gorakagahamadithtgha Ela","1","7.253361","80.64861111","16 m x 3 m","Retaining Wall (Concrete)",,"1,864,500","By the project","0.25 Years"
,,,"3. Establishing a Side/Retaining Wall 2 (Galthenne Junior School)","5","7.2562777787.256277","80.64544444 80.645472","22 m x 2 m","Retaining Wall (Masonry)",,"968,000","By the project","0.25 Years"
"Sub Total","3,082,500",,,,,,,,,,,
"11","962","Nehiniwela","1. Renovation of eleven (11) Leader Drains","5","7.253555556","80.66563889","16.7 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"1,670,000","Labour and other basic services by the Local community/ Shramadana","1.5 Years"
,,,,"4","7.252780","80.66694",,,,,,
,,,,"4","7.253610","80.66507",,,,,,
,,,,"5","7.255000","80.66839444",,,,,,
,,,,"5","7.2549287.24914","80.66877222 80.66873",,,,,,
,,,,"2","7.252917","80.66591667",,,,,,
,,,,"1","7.256611","80.67880556",,,,,,
,,,,"1","7.255278","80.67430556",,,,,,
,,,,"3","7.255694","80.671",,,,,,
,,,,"1","7.255260","80.66948",,,,,,
,,,,"3","7.255870","80.67012",,,,,,
,,,"2. Preparation of Drain at the middle of village/Raod, Nehiniwela","4","7.25073","80.66754","1.5 km","Concrete Drain",,"90,244,000",,"0.25 Years"
"Sub Total","91,914,000",,,,,,,,,,,
"12","963","Godampitiya","1. Stream bank conservation with Retaining Wall in Thalathuoya 1","3","7.25338","80.66935","500 m x 3 m","Retaining Wall (Concrete)",,"58,047,000","By the project","0.5 Years"
,,,"2. Stream bank conservation with side walls in Thalathuoya 2","5","7.25288","80.67251","200 m x 3 m","Retaining Wall (Concrete)",,"23,226,500","By the project","0.25 Years"
