FID,No_,GND,Scheme_Nam,Problem_to,N,E,Recommende,Estimated,Soil Erosion Class
10,11,951,Ratemulla gammeda spring,Reservation and boundary  need,7.248223,80.648342,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of Bamboo, Vetiver grass, an",128800,1
11,12,951, Uragala spring,Reservation and boundary  need,7.227871,80.651307,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna mixed seedlings at 500 mm grid interval. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of Bamboo, Vetiver grass, and riparian",64400,4
12,13,947, Hunugale spring,"No Reservation, reforestation  & riparian plants need",7.25084,80.637532,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer. 3. Introduction of Bamboo, Vetiver grass, and",64400,1
13,14,947,Tube well,Community water supply need,7.249121,80.636166,1. Hydro geological survey    2. Construct a tube well,950000,1
14,15,947, Baduwaththa spring,"No Reservation, reforestation  & riparian plants need",7.24883,80.63988,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer.  3. Introduction of Bamboo, Vetiver grass, and r",64400,3
15,16,948,Diddeniya stream,Erosion in both embankments,7.254169,80.65660278,"1. Dense planting of mixed vegetation comprising  Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer.  3. Introduction of riparian pl",219400,1
16,17,948,Tube well,Community water supply need,7.2567875,80.652539,1. Hydro geological survey    2. Construct a tube well,950000,4
17,18,948,Spring water for Uduwela school,Need reservation and riparian plant,7.2567875,80.652539,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer.  3. Introduction of Bamboo, Vetiver grass, and r",68100,4
18,19,949,Inkadura springs,Effluent/ garbage flow,7.24873,80.66143,1. Earth filling to narrow tracks to form a channel bund of 5m wide and length of about 20 m.  2. Protection by riparian plants with vetiver grass rows. 3. Construct a garbage trap with a net.,140000,4
19,20,949,Kiri-Koongahawala well,Need -pipe from springs to well Construction,7.25377,80.65673,Supply and lay HDPE or PVC pipes,150000,1
20,21,949,Keremmula spring,Effluent/ garbage flow,7.25153,80.66323,1. Earth filling to narrow tracks to form a channel bund of 5m wide and length of about 20 m.  2. Protection by riparian plants with vetiver grass rows. 3. Construct a garbage trap with a net.,140000,2
21,22,949,Oothenne well,Need re-construction,7.25231,80.66144,Demolish and re-construct the well,400000,1
22,23,949,Gallinda spring,Need pump and pipeline,7.24896,80.65907,Supply and install a pump and new pipes,490000,2
23,24,950,New  Tube well,Lack of domestic water,7.249121,80.656166,1. Hydro geological survey    2. Construct a tube well,950000,1
24,25,953,Bogahalanda spring,Erosion/ No reservation,7.260355556,80.65395833,"1. Earth filling to a section of  150 m2 area about  0.5 depth. 
2. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/ Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.
3. Apply mulching, organic manure a",155100,4
25,26,953, 'Wawe Kade' spring  no1,Erosion/ No reservation,7.261491667,80.64811667,"1. Earth filling to a section of  150 m2 area about  0.5 depth. 
2. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.
3. Apply mulching, organic manure an",132400,2
26,27,953, 'Wawe Kade' spring  no2,Erosion/ No reservation,7.261785833,80.64767778,"2. Dense planting of mixed vegetation comprising  Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer.  3. Introduction of riparian pl",155100,4
27,28,953,private land spring,Erosion/ No reservation,7.262758333,80.64818611,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/ Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer.  3. Introduction of Bamboo, Vetiver grass, and",68100,1
28,29,953,Imbulethenna spring,Erosion/ No reservation,7.264328889,80.64783611,"1. Earth filling to a section of  100 m2 area about  0.5 depth. 2. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara /Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and",109700,2
29,30,955,Galthenna tube well,"need repairs, reservation, fencing",7.25623,80.64577778,1. Repairs to tube well and fencing around the reservation,750000,5
30,31,955,Galthenna spring,"need a reservation, fencing & agro forestation",7.254222222,80.64555833,"1. Earth filling to a section of  150 m2 area about  0.5 depth. 
2. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.
3. Apply mulching, organic manure an",210000,1
31,32,964,Well,Reservation need,7.247288889,80.65688611,"1. Dense planting of mixed vegetation comprising  Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer.  3. Introduction of riparian pl",113500,1
32,33,964,Spring,Reservation and filtering need,7.243111111,80.65470278,"1. Earth filling to a section of  400 m2 area about  0.5 depth. 
2. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.
2. Apply mulching, organic manure an",416100,1
33,34,964,Well,Reservation and filtering need,7.235086111,80.65358611,"1. Earth filling to a section of  400 m2 area about  0.5 depth.  
2. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval. 
3. Apply mulching, organic manure",416100,1
