No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Sum of Costs (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
11,484 E,Bodhiwela,11. Soil conservation practices - Temple (70°),1,On,7.136574,80.823739,5 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"1,250,000",,Labour and other basic services by the Local community,0.5 Years
12,484 E,Bodhiwela,12. Soil conservation practices - Rathmetiya (35°),3,On,7.138759,80.82306,12 ha,"Lock and spills and / or Stone terracing/Live fencing/SALT, as applied",400.00 m-1,"4,800,000",,Labour and other basic services by the Local community,0.5 Years
13,484 E,Bodhiwela,13. Soil conservation practices - Kumbukwela (75°),4,On,7.138944,80.823205,5 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"1,250,000",,Labour and other basic services by the Local community,0.5 Years
14,484 E,Bodhiwela,14. Soil conservation practices - Kumbukwela (75°),4,On,7.129849,80.815875,12 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"3,000,000","19,365,000",Labour and other basic services by the Local community,0.5 Years
15,491 D,Happawara,1. Renovation of natural drains - Dead torrent/Mala Kandura right side of the Happawara wewa,1,Off,7.16431,80.83316,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
16,491 D,Happawara,2. Renovation of natural drains - Beliul oya,1,Off,7.1715549,80.84244,1 km,Clearing and planting some trees along the banks and other conservation practices,,"100,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
17,491 D,Happawara,3. Renovation of natural drains - Galaseeya torrent 1,5,Off,7.1717079,80.834428,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
18,491 D,Happawara,4. Renovation of natural drains - Galaseeya by torrent,4,Off,7.171648,80.835481,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
19,491 D,Happawara,5. Renovation of natural drains - Galaseeya torrent 2,5,Off,7.173262,80.837025,1.5km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
20,491 D,Happawara,6. Renovation of natural drains - Galaseeya torrent 3,5,Off,7.1717,80.835387,100m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
21,491 D,Happawara,7. Soil conservation practices - Galseya (80°),5,On,7.171537,80.835501,28 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"7,000,000",,Labour and other basic services by the Local community,1.5 Years
22,491 D,Happawara,8. Soil conservation practices - Galseya (85°),5,On,7.17222,80.836311,14.8 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"3,700,000",,Labour and other basic services by the Local community,1 Year
23,491 D,Happawara,9. Soil conservation practices - Galseya (85°),5,On,7.173177,80.837422,0.5 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"125,000",,Labour and other basic services by the Local community,0.25 Years
24,491 D,Happawara,10. Soil conservation practices - Galseya (80°),5,On,7.17214,80.83417,0.5 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"125,000","11,590,000",Labour and other basic services by the Local community,0.25 Years
25,491,Illagolla,1. Renovation of natural drains - Bambaragalla torrent,3,Off,7.154755,80.82071,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
26,491,Illagolla,2. Renovation of natural drains - Takan torrent,1,Off,7.157827,80.831429,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
27,491,Illagolla,3. Renovation of natural drains - Madawala kumbura torrent,5,Off,7.154043,80.836739,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
28,491,Illagolla,4. Renovation of natural drains - Illagolla torrent 1,5,Off,7.150919,80.826706,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
29,491,Illagolla,5. Renovation of natural drains - Illagolla torrent 2,1,Off,7.150142,80.829649,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
30,491,Illagolla,6. Renovation of natural drains - Illagolla torrent 1,5,Off,7.149607,80.829103,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
31,491,Illagolla,7. Soil conservation practices - Bambaragahapila (85°),1,On,7.155041,80.821194,20 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000",,Labour and other basic services by the Local community,1 Year
32,491,Illagolla,8. Soil conservation practices - Illagolla (85°),5,On,7.155806,80.821634,10 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"2,500,000",,Labour and other basic services by the Local community,0.5 Years
33,491,Illagolla,9. Soil conservation practices - Puwakgolla (70°),3,On,7.152159,80.823255,20 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000",,Labour and other basic services by the Local community,1 Year
34,491,Illagolla,10. Soil conservation practices - Illagolla (70°),5,On,7.154562,80.834046,16 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"4,000,000",,Labour and other basic services by the Local community,1 Year
35,491,Illagolla,11. Soil conservation practices - Illagolla (70°),5,On,7.15056,80.830015,0.5 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"125,000","17,925,000",Labour and other basic services by the Local community,0.25 Years
36,491 A,Moragolla,1. Renovation of natural drains - Papaana torrent,3,Off,7.148271,80.815546,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
37,491 A,Moragolla,2. Renovation of natural drains - Una padura yaye torrent,4,Off,7.148829,80.817593,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
38,491 A,Moragolla,3. Renovation of natural drains - Napale kumbura torrent,3,Off,7.144727,80.818058,800 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"80,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
39,491 A,Moragolla,4. Renovation of natural drains - Moragolla torrent 1,5,Off,7.144969,80.813183,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"40,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
40,491 A,Moragolla,5. Renovation of natural drains - Moragolla torrent 2,3,Off,7.14393,80.81325,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"40,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
41,491 A,Moragolla,6. Soil conservation practices - Una pandura yaaya (75°),1,On,7.148395,80.817619,24 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"6,000,000",,Labour and other basic services by the Local community,1.5 Years
42,491 A,Moragolla,7. Soil conservation practices - Una pandura yaaya (70°),1,On,7.149146,80.818869,4 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000",,Labour and other basic services by the Local community,0.5 Years
43,491 A,Moragolla,8. Soil conservation practices - Una pandura yaaya (65°),4,On,7.148592,80.817668,24 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"6,000,000",,Labour and other basic services by the Local community,1.5 Years
44,491 A,Moragolla,9. Soil conservation practices - Moraketiya (75°),4,On,7.144522,80.818654,6 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000",,Labour and other basic services by the Local community,0.5 Years
45,491 A,Moragolla,10. Soil conservation practices - Moraketiya (85°),2,On,7.144603,80.818039,12 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"3,000,000",,Labour and other basic services by the Local community,0.5 Years
46,491 A,Moragolla,11. Soil conservation practices - Aswedduma (60°),5,On,7.147589,80.814164,4 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000",,Labour and other basic services by the Local community,0.5 Years
47,491 A,Moragolla,12. Soil conservation practices - Moragolla (70°),2,On,7.14368,80.81418,4 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000",,Labour and other basic services by the Local community,0.5 Years
48,491 A,Moragolla,13. Soil conservation practices - Moragolla (80°),5,On,7.14134,80.81453,8 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000","21,860,000",Labour and other basic services by the Local community,0.5 Years
49,491 C,Rammalakandura,1. Renovation of natural drains - Muukalana torrent,3,Off,7.14571,80.8241,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
50,491 C,Rammalakandura,2. Renovation of natural drains - Torrent near punchiudulla temple,1,Off,7.14514,80.82366,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
51,491 C,Rammalakandura,3. Renovation of natural drains - Ranmala torrent,5,Off,7.142595,80.82583,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
52,491 C,Rammalakandura,4. Renovation of natural drains - Pussala gawa torrent,4,Off,7.14244,80.82212,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
53,491 C,Rammalakandura,5. Renovation of natural drains - Thambayawatta torrent,5,Off,7.146884,80.82745,6 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"600,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
54,491 C,Rammalakandura,6. Renovation of natural drains - Lamasuuriya canal,4,Off,7.139107,80.831948,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
55,491 C,Rammalakandura,7. Soil conservation practices - Wetakolu yaaya (75°),4,On,7.145139,80.823417,24 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"6,000,000",,Labour and other basic services by the Local community,1.5 Years
56,491 C,Rammalakandura,8. Soil conservation practices - Rammalakandura (80°),3,On,7.142915,80.822172,0.5 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"125,000",,Labour and other basic services by the Local community,0.25 Years
57,491 C,Rammalakandura,9. Soil conservation practices - Bogaha ella (60°),4,On,7.144571,80.8274,5 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"1,250,000",,Labour and other basic services by the Local community,0.25 Years
58,491 C,Rammalakandura,10. Soil conservation practices - Senkaayanwatta (80°),1,On,7.140886,80.83162,20 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000",,Labour and other basic services by the Local community,1.5 Years
59,491 C,Rammalakandura,Establishing a side/retaining wall - Bogaha ella,4,Off,7.142862,80.826672,35 m x 8 m x 0.5 m,Retaining wall,"2,000.00 m-3","280,000","14,305,000",Labour and other basic services by the Local community,0.5 Years
,,,,,,,,,Grand Total,,"85,045,000",,,
