"Table 6.1: Key activities proposed for soil and water conservation in MWS-022-1","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,"2. Soil conservation practices - Glendon Water shed  (40˚ - 50˚)",,"On","7.03112","80.84456","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","125,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - St. jones Water shed  (50˚ - 60˚)",,"On","7.01898","80.82492","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","62,500.00","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Field No. 5 Water shed  (40˚ - 50˚)",,"On","7.03057","80.83857","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","62,500.00","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Renovation of natural drains - Concodia River",,"Off","7.01421","80.82972","1 km","Clearing and planting some trees along the banks and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Renovation of natural drains - Mahakudugala Stream",,"Off","7.03112","80.84456","1 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"7. Renovation of natural drains - No. 07 Bungalow Road Stream",,"Off","7.03009","80.84906","500 m","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"50,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"8. Renovation of natural drains - No. 05 Main Road Stream",,"Off","7.03019","80.839","1 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"9. Renovation of natural drains - Silver Kandy Stream",,"Off","7.02591","80.84417","1.2 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"120,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"10. Renovation of natural drains - No. 06 Division Stream",,"Off","7.01900","80.83507","2 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"200,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"11. Soil conservation practices - Concordia Farm  (50˚ - 60˚)",,"On","7.01202","80.83446","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","3,000,000.00","Labour and other basic services by the Local community","1 Year"
"Sub Total","4,045,000.00",,,,,,,,,,,,
,,,,,,,,,"Grand Total",,"12,502,000.00",,
