No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (LKR),Sum of Costs (LKR),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
61,509,Mathurata,4. Soil conservation practices - Danda Arawa (70°),4,On,7.074691,80.803043,2 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"500,000",,Labor and other basic services by the Local community,0.5 Years
62,509,Mathurata,5. Soil conservation practices - Danda Arawa (75°),2,On,7.0735198,80.7935959,3.2 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"800,000",,Labor and other basic services by the Local community,0.5 Years
63,509,Mathurata,6. Establishing a side wall - Danda Arawa canal,5,Off,7.072754,80.802374,20 m x 0.5 m x 3 m,Side/Retaining wall,"2,000 m-3","60,000","5,470,000",Labor and other basic services by the Local community,0.25 Years
64,509 A,Merrygoll,1. Renovation of natural drains - No. 5 torrent,5,Off,7.065878,80.821672,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
65,509 A,Merrygoll,2. Renovation of natural drains - Torrent that flows through canal No. 5,5,Off,7.06593,80.821259,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
66,509 A,Merrygoll,3. Renovation of natural drains - Torrent of Huruduwe canal,3,Off,7.065574,80.818967,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
67,509 A,Merrygoll,4. Renovation of natural drains - Pathahe Kandura at 4th Mile's Post,4,Off,7.064684,80.812672,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
68,509 A,Merrygoll,5. Soil conservation practices - Gonampitiya watta (Merrygol Division) (60°),5,On,7.0682426,80.8088988,100 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"25,000,000","25,260,000",Labor and other basic services by the Local community,0.5 Years
69,512 A,Metibembiya,1. Renovation of natural drains - Bathkana Kadura 2,5,Off,7.068776,80.783558,1 km,Planting some trees along the banks and other conservation practices,,"100,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
70,512 A,Metibembiya,2. Renovation of natural drains - Bathkana Kadura 1,,Off,,,1 km,Planting some trees along the banks and other conservation practices,,"100,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
