"Table 5.2: Key ON- FARM activities proposed for soil and water conservation in MWS-019","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"4. Soil conservation practices - Udalumada (50°)","2","7.13378","80.775881","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,000,000",,,,,,,,,,,
"11","482 B","Welampagoda","1. Soil conservation practices - Denike (60°)","1","7.135457","80.784574","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Welampagoda (60°)","2","7.133689","80.78247","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,000,000",,,,,,,,,,,
"12","482 C","Udawela Pathana","1. Soil conservation practices - Wewa Landa (60°)","4","7.141327","80.779458","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Buwella (Udawela Pathana) (60°)","1","7.142172","80.780559","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","1,250,000",,,,,,,,,,,
"13","483 A","Ehelamalpe","1. Soil conservation practices - Ehelamalpe (85°)","5","7.124816","80.784324","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Ehelamalpe Temple (85°)","4","7.124324","80.784016","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,375,000",,,,,,,,,,,
"14","483","Wilwala","1. Soil conservation practices - Wilwala (80°)","4","7.123767","80.785902","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Wilwala (60°)","1","7.125252","80.787908","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,625,000",,,,,,,,,,,
"15","484 C","Palle Makuruppa","1. Soil conservation practices - Palle Makuruppa (50°)","4","7.137975","80.797476","32 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","8,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices - Palle Makuruppa (60°)","4","7.136953","80.79903","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Palle Makuruppa (75°)","4","7.134512","80.797127","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","312,500","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","8,437,500",,,,,,,,,,,
"16","484 A","Bogamuwa","1. Soil conservation practices - Bogamuwa Primary School (85°)","4","7.13826","80.79883","0.75","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","187,500","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Nikatenna (75°)","5","7.1347","80.805924","33.2","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","8,300,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","8,487,500",,,,,,,,,,,
"17","484-B","Uda Makuruppa","1. Soil conservation practices - Illaketiya (80°)","3","7.143538","80.78843","3.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","900,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Illaketiya (80°)","4","7.143096","80.788729","18 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Uda Makuruppa (60°)","4","7.144756","80.790579","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Uda Makuruppa (30°)","1","7.140255","80.793732","8 ha","lock and spills stone terracing/Live fencing/SALT, as applied","400 m-1","3,200,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Galkotuwa (45°)","4","7.142836","80.795723","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","11,100,000",,,,,,,,,,,
"18","484","Pallewela","1. Soil conservation practices - Either sides of Elle Oya (Athurundawa) (85°)","5","7.130328","80.800834","2.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","600,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Hunukotuwa (80°)","4","7.128667","80.807611","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,100,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"83,925,000",,
