"Table 5.3: Key OFF- FARM activities proposed for soil and water conservation in MWS-019","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"13","483 A","Ehelamalpe","1. Renovation of natural drains - Maa ela Seasonal canal","1","7.124398","80.784215","1.5 km","Planting some trees along the banks and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","150,000",,,,,,,,,,
"14","483","Wilwala","1. Renovation of natural drains - Panwewa torrent","5","7.123825","80.784729","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Mul Oya Maha torrent","5","7.124362","80.784023","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Canal located in Wilwala Rajamaha Vihara Maluwe Kande","5","7.123891","80.783806","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Establishing 8 walls (6 m x 3 m x 8) - Infront of Wilwala Dingiri Bandas's house","5","7.123724","80.789563","48 m x 3 m","Retaining Wall (Concrete)","5,582,500","By the project","0.5 Years"
,,,"5. Establishinga a retaining wall - Wilwala playground","3","7.125125","80.788862","13 m x 3 m","Retaining Wall (Concrete)","1,518,000","By the project","0.25 Years"
,,,"6. Establishing a retaining wall - Agri road of the Upper part of Wilwala","1","7.124721","80.787898","30 m x 3 m","Retaining Wall (Concrete)","3,492,500","By the project","0.5 Years"
"Sub Total","10,753,000",,,,,,,,,,
"15","484 C","Palle Makuruppa","1. Renovation of natural drains - Paddarawa torrent","1","7.137998","80.793962","1.5 km","Planting some trees along the banks and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Hapugahalanda torrent","5","7.138799","80.795732","500 m","Planting some trees along the banks and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains -  Torrent near Pinthaliya","4","7.136953","80.79903","500 m","Planting some trees along the banks and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Torrent near H.H. Shantha Bandara","3","7.134718","80.798621","600 m","Planting some trees along the banks and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Illanketiya torrent 3","1","7.144161","80.788727","150 m","Planting some trees along the banks and other conservation practices","15,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Renovation of natural drains - Jambugahawatta torrent","2","7.143899","80.788706","2 km","Planting some trees along the banks and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"7. Renovation of natural drains - Illanketiya torrent 4","4","7.144119","80.787432","250 m","Planting some trees along the banks and other conservation practices","25,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"8. Renovation of natural drains - Bomaluwa torrent","1","7.142418","80.792883","300 m","Planting some trees along the banks and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"9. Renovation of natural drains - Thotupala torrent","1","7.140364","80.793251","400 m","Planting some trees along the banks and other conservation practices","40,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"10. Establishing a retaining wall - Near Health Office","1","7.138392","80.796449","20 m x 3 m","Retaining Wall (Concrete)","2,332,000","By the project","0.5 Years"
,,,"11. Establishing a retaining wall -  Sujatha Pre School","2","7.1372326","80.7966055","30 m x 2 m","Retaining Wall (Masonary)","1,320,000","By the project","0.5 Years"
"Sub Total","4,272,000",,,,,,,,,,
"16","484 A","Bogamuwa","1. Renovation of natural drains - Hapugaha watta torrent","3","7.13838","80.802973","600 m","Planting some trees along the banks and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Elandarawa torrent","5","7.13803","80.804117","600 m","Planting some trees along the banks and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","120,000",,,,,,,,,,
"17","484-B","Uda Makuruppa","1. Renovation of natural drains -  Illanketiya torrent 1","4","7.14361","80.788491","300 m","Planting some trees along the banks and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Illanketiya torrent 2","5","7.14331","80.788843","300 m","Planting some trees along the banks and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Establishing a side/retaining wall - Elaketiya School","1","7.145447","80.787156","40 m x 3 m","Retaining Wall (Concrete)","4,653,000","By the project","0.5 Years"
"Sub Total","4,713,000",,,,,,,,,,
"18","484","Pallewela","1. Renovation of natural drains -  Ihalaga torrent","5","7.132388","80.801563","1 km","Planting some trees along the banks and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains -  Kandegolla torrent","4","7.131352","80.801373","200 m","Planting some trees along the banks and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains -  Puhul Pona torrent","4","7.130562","80.802618","500 m","Planting some trees along the banks and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains -  Torrent near school","3","7.132994","80.802841","200 m","Planting some trees along the banks and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Bittara pela torrent","5","7.130595","80.803034","200 m","Planting some trees along the banks and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Renovation of natural drains - Elle Oya","5","7.12782","80.802475","1 km","Planting some trees along the banks and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"7. Renovation of natural drains - Seasonal Canal/Malakandura","5","7.129745","80.805825","600 m","Planting some trees along the banks and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"8. Renovation of natural drains -  Hunukotuwa torrent","3","7.128304","80.807651","200 m","Planting some trees along the banks and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","390,000",,,,,,,,,,
,,,,,,,,"Grand Total","39,744,500",,
