"Table 5.2: Key ON-FARM proposed for soil and water conservation in MWS-011 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
"12","498C","Makempe","1. Soil conservation practices - Both sides of Mul Oya (65°)","4","7.136287","80.755062","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Hiran Ella (75°)","4","7.137824","80.755442","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Makempe (70°)","3","7.137151","80.760597","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Udahiran Ella (55°)",,"Cannot reach to the location","Cannot reach to the location","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Udahiran Ella (70°)",,"Cannot reach to the location","Cannot reach to the location","5.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,400,000","Labour and other basic services by the Local community","0.5 Years"
,,,"6. Soil conservation practices - Pedurugoda reservation (65°)",,"Cannot reach to the location","Cannot reach to the location","3.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","6,325,000",,,,,,,,,,,
"13","498A","Poramadulla","1. Soil conservation practices - Jonstanwaththa Ihala reservation (50°)","3","7.139884","80.7716","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Jonstanwaththa Pahala (40°)","2","7.140398","80.770936","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Jonstanwaththa Pahala (70°) -  (1km above from this point)","4","7.137024","80.771311","3.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
