"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-002-1","","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Uniti.Cost..LKR..","Total.Cost..LKR.","Contribution","Time.frame.for.the.implementation","NA."
"","","","","","N or X","E or Y","","","","","",""
" "," ","","2. Soil conservation practices - Karagaskada North (60°) ","4","7.179705","80.699034","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
" "," "," ","3. Soil conservation practices - Karagaskada North (50°) ","3","7.177311","80.698373","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","17,062,500"," "," ",,,,,,,,,
"6","1042","Karagaskada South","1. Soil conservation practices - either sides of the river (85°) ","1","7.170872","80.701206","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Year"
" "," ","","2. Soil conservation practices - Muslim Janapadaya (80°) ","5","7.170862","80.701137","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Year"
" "," ","","3. Soil conservation practices - Muslim Janapadaya (35 - 40°) ","3","7.172783","80.702137","17 ha","Live fencing/SALT","250 m-1","2,500,000","Labour and other basic services by the Local community","1 Year"
" "," ",""," "," "," ",""," ","Lock and spills - 4 ha","400 m-1","1,600,000","",""
" "," ",""," "," "," ",""," ","Stone terracing - 3 ha","2,500 m-1","7,500,000","",""
" "," ","","4. Soil conservation practices - Muslim Janapadaya (60°) ","4","7.171157","80.704822","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Year"
" "," ","","5. Soil conservation practices - Riverside (70°) ","5","7.170772","80.704708","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Year"
" "," ","","6. Soil conservation practices - Riverside (65°) ","3","7.171367","80.702324","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Year"
"Sub Total","14,725,000"," "," ",,,,,,,,,
"7","1043","Great Valley Estate","No special issues are reported",,,,,,,,,
"8","1044","Gabadagama South","1. Soil conservation practices -  Gabadagama/ Wijayakumarathunga House (25°) ","4","7.156442","80.725008","8 ha","Lock and spills - 5 ha","400 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
" ",""," ",""," ",""," ","","Stone terracing - 3 ha","2,500 m-1","7,500,000","",""
" ",""," ","2. Soil conservation practices - Muththoliya (60°) ","2","7.14842","80.721421","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
" ",""," ","3. Soil conservation practices - Muththoliya (60°) ","1","7.148221","80.721606","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
" "," "," ","4. Soil conservation practices - Muththoliya (60°) ","2","7.15002","80.720492","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","11,625,000"," "," ",,,,,,,,,
"9","1045","Gabadagama North","1. Soil conservation practices - near Kovila (50°) ","5","7.150842","80.717848","0.1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","25,000","Labour and other basic services by the Local community","0.25 Years"
" ",""," ","2. Soil conservation practices - Nelligolla Galwala (80°) ","4","7.148813","80.719282","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Year"
" ",""," ","3. Soil conservation practices - Naranhinna (70°) ","4","7.147370","80.713383","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
