"Table 5.39: Key stakeholders of Tea lands","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
,,"Transportation of seedlings to the site 
(300 Seedlings/ lorry load)","1","Lorry loads","7,500","7,500",
,,"Transportation of seedlings inside the field 
(5 Man days / ha)","3","Man days","2,500","6,250",
,,"Holing and planting (33 Man days /ha)","17","Man days","2,500","41,250",
,,"Fertilizer","25","Kg","300","7,500",
,,"Fertilizer application 
(9 Man days/ ha)","5","Man days","2,500","11,250",
,,"Vacancy Planting -Seedlings (20%)","50","Seedlings","300","15,000","2027"
,,"Vacancy Planting - Holing & Planting
 (7 Man days)","4","Man days","2,500","8,750",
,,"Vacancy Planting (10%)- Seedlings","25","Seedlings","300","7,500","2028"
,,"Vacancy Planting - Holing & Planting 
(7 Man days)","4","Man days","2,500","8,750",
,,"1st years 
3 maintenance, 16 Man days, 3 times/yea","24","Man days","2,500","60,000","2027"
,,"2nd year 
2 maintenance (2 times /year) 10 Man days","10","Man days","2,500","25,000","2028"
,,"3rd year 
2 maintenance (Once only) 10 Man days","10","Man days","2,500","25,000","2029"
,,"4th year 
1 maintenance (Once only) 10 Man days","5","Man days","2,500","12,500","2030"
,,"Fuel (Supervision)","1","Lump sum","58,200","58,200","2026-2030"
,,,,,"Sub Total","371,950",
,,"Contingency (10%)",,,,"37,195",
,,,,,"Total","409,145",
"Tree planting to establish salt system (4 ha)","Near Madilanda kandura spring
(7.0538280.90568)","Production of Seedlings (9\"x6\")","2,000","Seedlings","50","100,000","2026"
,,"Loading 
(01Manday/1,800 Seedlings)","2","Man days","2,500","5,000",
,,"Loading unloading 
(01Manday/1,800 Seedlings)","2","Man days","2,500","5,000",
,,"Transportation and distribution (2000 Seedling/
Lorry load)","2","Lorry load","7,500","15,000",
,,,,,"Sub Total","125,000",
,,"Contingency (10%)",,,,"12,500",
,,,,,"Total","137,500",
"Tree planting to establish salt system (10 ha)","Near Madilanda kandura spring
(7.05282, 80.90485)","Production of Seedlings (9\"x6\")","5,000","Seedlings","50","250,000","2026"
,,"Loading 
(01Manday/1,800 Seedlings)","3","Man days","2,500","7,500",
,,"Loading unloading 
(01Manday/1,800 Seedlings)","3","Man days","2,500","7,500",
,,"Transportation and distribution (2000 Seedling/
Lorry load)","3","Lorry load","7,500","22,500",
,,,,,"Sub Total","287,500",
,,"Contingency (10%)",,,,"28,750",
,,,,,"Total","316,250",
"Total",,,,,,"7,829,415",
