"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-014 belongs to Hanguranketha DS Division","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"10. Constructing a retaining wall - Hakuruthale Sri Sumangalaramaya","1","7.198971","80.798479","30 m x 3 m","Retaining Wall (Concrete)","3,492,500","By the project","0.5 Years"
,,,"11. Constructing a retaining wall - Welikada Sri Dhalada Len Aranya Senasanaya","1","7.220955","80.791065","20 m x 3 m","Retaining Wall (Concrete)","2,332,000","By the project","0.5 Years"
"Sub Total","6,124,500",,,,,,,,,,
"5","488B","Hilpenkandura","1. Renovation of natural drains - Hilpan minor stream","1","7.18815","80.80755","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Murungawatta minor stream","1","7.195121","80.812566","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","100,000",,,,,,,,,,
"6","489C","Udakanda","1. Renovation of natural drains - Diyathala Kanda minor stream","5","7.165706","80.808852","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","250,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - minor stream","5","7.166363","80.80882","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","250,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Werella minor stream",,"_","_","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","250,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Mathala Mada minor stream","1","7.164521","80.807771","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Kotiya Gala minor stream","5","7.164435","80.814653","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","40,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Renovation of natural drains - Badiyawa Mala minor stream","5","7.165286","80.814837","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"7. Constructing a retaining wall - Batagolla Udakanda Road","3","7.161266","80.810988","50 m x 3 m","Retaining Wall (Concrete)","5,813,500","By the project","0.5 Years"
"Sub Total","6,733,500",,,,,,,,,,
"7","489A","Udawatta East","1. Renovation of natural drains - Dulgaha Watta minor stream","1","7.181451","80.798096","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Thotupala minor stream (Maha minor stream)","1","7.182193","80.79891","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Naaya minor stream","5","7.183558","80.802342","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Ulpatha minor stream","4","7.183205","80.80333","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Kobokura minor stream","1","7.178225","80.797961","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","700,000",,,,,,,,,,
"8","489D","Udawatta West","1. Renovation of natural drains - Morakatiya minor stream","3","7.183902","80.79606","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Galekade minor stream","2","7.184002","80.801768","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Thanne Hewala minor stream","3","7.187163","80.802565","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - From Keenamankada minor stream","3","7.186394","80.801024","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","15,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","265,000",,,,,,,,,,
"9","485B","Welikada","1. Renovation of natural drains - Minor stream near Mr. Robert's house","1","7.221433","80.787081","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Minor stream near Podi Appu's house","1","7.222937","80.787257","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Demini Ara minor stream","1","7.222477","80.788987","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Minor stream across the Badulu road","2","7.221305","80.7887","50 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Minor sub stream flows to Demini Arawa","1","7.218759","80.787647","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Renovation of natural drains - Minor stream flows from Bogala Kanda","3","7.221648","80.785513","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","400,000",,,,,,,,,,
,,,,,,,,"Grand Total","15,168,000",,
