"Table 6.1: Key activities proposed for soil and water conservation in MWS-029","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,"5. Soil conservation practices - Indigollagama  (60˚ - 70˚)",,"On","7.138838","80.848832","28 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","7,000,000.00","Labour and other basic services by the Local community","1.5 Years"
,,,"6. Soil conservation practices - Galgoda (50˚ - 60˚)",,"On","7.148368","80.841243","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","5,000,000.00","Labour and other basic services by the Local community","1 Year"
"Sub Total","20,250,000.00",,,,,,,,,,,,
"3","513C","Wewakele","1. Renovation of natural drains - Naththaran welpita Anicut and Canal",,"Off","7.124924","80.848149","60 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"6,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Wewakele tank RB Canal",,"Off","7.126107","80.850444","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"40,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Galmulla Canal",,"Off","7.12645","80.847694","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"40,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Gedigahayata Canal",,"Off","7.127509","80.849081","250 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"25,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Yakkawana Kandura",,"Off","7.124232","80.846000","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Renovation of natural drains - Wewakale Kandura",,"Off","7.125889","80.847872","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"7. Soil conservation practices - Wewakele - Gardening  (50˚ - 60˚)",,"On","7.123881","80.846698","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","250,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"8. Soil conservation practices - Wewakele - Gardening (50˚ - 60˚)",,"On","7.124382","80.847418","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","312,500.00","Labour and other basic services by the Local community","0.25 Years"
,,,"9. Soil conservation practices - Wewakele - Gardening (50˚ - 60˚)",,"On","7.127599","80.848512","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,073,500.00",,,,,,,,,,,,
"4","513D","Ihala Pannala","1. Renovation of natural drains - Kovillanda Kandura",,"Off","7.129492","80.849908","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Devale Kandura",,"Off","7.12985","80.84881","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Kovillanda Canal",,"Off",,,"400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"40,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Galmulla Canal",,"Off",,,"300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"30,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Mahakumbura Canal",,"Off",,,"500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Soil conservation practices - Ihala Pannala (50˚ - 60˚)",,"On","7.130316","80.848782","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,320,000.00",,,,,,,,,,,,
"5","514E","Deliwala North","1. Renovation of natural drains - Udawatta Kandura",,"Off","7.11873","80.8551","3.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"350,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Sooriyaketiya Kandura",,"Off","7.12789","80.8563","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"250,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Polgahakumbura Kandura",,"Off","7.12066","80.85513","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Soil conservation practices - Dehigaspitiya (50˚ - 60˚)",,"On","7.12619","80.85586","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Boraluwela, Galketilannda (40˚ - 50˚)",,"On","7.12926","80.85844","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","3,000,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","5,750,000.00",,,,,,,,,,,,
"6","514","Kumbalgamuwa","1. Soil conservation practices - Mahawewa Area (40˚ - 50˚)",,"On","7.10952","80.85166","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Soil conservation practices - Kudawewa Area (50˚ - 60˚)",,"On","7.11255","80.8509","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","312,500.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Nayawatta Kandura",,"Off","7.11469","80.8557","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"300,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Udawatta Kandura",,"Off","7.11042","80.84552","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"300,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Uda Arawa Spring",,"Off","7.11182","80.84688","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Renovation of natural drains - Maha Ela",,"Off","7.11272","80.85485","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"300,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"7. Soil conservation practices - Mahawewa (65˚ - 70˚)",,"On","7.11096","80.84962","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,500,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","3,362,500.00",,,,,,,,,,,,
"7","513 E","Mailagasthanna","1. Renovation of natural drains - Gorokgaha Kandura",,"Off","7.134942","80.849611","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Mailagasthanna (60˚ - 70˚)",,"On","7.132443","80.844635","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,150,000.00",,,,,,,,,,,,
,,,,,,,,,"Grand Total",,"39,876,000.00",,
