"Table 5.18: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
"711","Udawela anicut and canal","7.314490","80.718724","Existing concrete canal but it is dilapidated condition. A anicut of Construct stone and earth, Command area 15.0 acres","Construction of AnicutDemolishing and removing debris of dilapidated structureConstruction of 0.9 m high Weir across stream excluding abutments and stop planksConstruction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Supply & install of 225 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.Tidying upCanal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","1,765,500"
,,,,,,
,,,,,,
"711","Rathmal Oya near Thoragollayaya","7.313433","80.710594","The right bank of Rathmal Oya has been eroded and the paddy fields have been damaged.","Construction of 2.5m high 1:3:6 (40mm) cement concrete Retaining Wall Contingencies (10%)","2,103,750"
,,,,,,
,,,,,,
"712","kanitumulla anicut","7.314437","80.718656","A concrete wall 1.5m long and 0.45m wide has been constructed across Rathmal Oya.","Raising of 1.5m long existing concrete wall by 0.3mContingencies (10%)","5,500"
,,,,,,
"712","kanitumulla canal","7.312355","80.717073","The first section of the canal is 600mm wide and 900mm high rectangular concrete lining has been constructed.  From end of existing concrete lining, there is a 650m long earthen canal. Command area 10.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","946,000"
"712","Aswadduma canal","7.310160","80.713324","The first section of the canal is 300mm wide and 300mm high rectangular concrete lining has been constructed.  From end of existing concrete lining, there is a 300m long earthen canal. Command area 15.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","1,606,000"
,,,,,,
"712","Pallewela anicut","7.313852","80.717882","A concrete wall 7.5m long and 0.45m wide has been constructed across Rathmal Oya. The constructed concrete structure is in good condition. Planks should be placed for the 1.2m long two open spaces. Sluice gate should be installed for the canal.","75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.Supplying & Fixing of 225mm x 225mm steel gate with lifting arrangementMiscellaneousContingencies (10%)","137,500"
"712","Pallewela canal","7.312427","80.716700","The first section of the canal is 300mm wide and 300mm high rectangular concrete lining has been constructed.  From end of existing concrete lining, there is a 300m long earthen canal. Command area 15.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","1,468,500"
"712","Ibbanmada canal","7.311758","80.716947","The first section of the canal is 900mm wide and 900mm high rectangular concrete lining has been constructed.  From end of existing concrete lining, there is a 450m long earthen canal. Command area 10.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","907,500"
,,,,,,
"713","Gal amuna Anicut","7.310592","80.706288","Up stream of the anicut, a 15.0m long section of the left bank has been eroded. Anicut has two oppenings arranged for placing planks 600mm wide and 600mm high.","Construction of 2.5m high 1:3:6 (40mm) cement concrete Retaining Wall 75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.MiscellaneousContingencies (10%)","1,309,000"
,,,,,,
"713","Gal amuna Canal","7.310564","80.706273","The total length of the canal is about 500m. A section of about 300m should be newly concreted. Command area = 6.0 acres.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","594,000"
,,,,,,
,,,,,,
"713","Malliya amuna","7.312358","80.709652","An anicut made of concrete is in good condition, Planks should be placed for the open place of the anicut. A by road connecting the Galamuna and Heepitiya GN Divisions is connected over the anicut.","75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.Construction of 10.0m long x 0.8m width Foot BridgeMiscellaneousContingencies (10%)","192,500"
,,,,,,
"713","Madakumbura","7.312098","80.709834","A canal made of earth about 150.0m long. Command area = 6.0 acres.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","522,500"
,,,,,,
,,,,,,
,,,,,"Total","37,086,500"
