"ID","MWS","Group","Database","Layer","Name","provider","Level","Geocode","Type","Description","geojson","Year"
34,"MWS-005","Proposal","Product and Entrepreneurship Development with Marketing Support and Tourism Development","Table 5.27: Accommodation Places","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_27.csv",""
35,"MWS-005","Proposal","Product and Entrepreneurship Development with Marketing Support and Tourism Development","Table 5.28: Cost estimates and Time frame","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_28.csv",""
36,"MWS-005","Proposal","Forest Management","Table 5.29: Key stakeholders of Forest lands","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_29.csv",""
37,"MWS-005","Proposal","Forest Management","Table 5.30: Forest lands in MWS-005","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_30.csv",""
38,"MWS-005","Proposal","Forest Management","Table 5.31: Vegetation cover vs population in MWS-005","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_31.csv",""
39,"MWS-005","Proposal","Forest Management","Table 5.32: Proposed interventions MWS-005 of the Pathahewaheta Divisional Secretariat","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_32.csv",""
40,"MWS-005","Proposal","Tea Land Management","Table 5.33: Key stakeholders of Tea lands","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_33.csv",""
41,"MWS-005","Proposal","Tea Land Management","Table 5.34: Estimated cost to be incurred for planting one hectare of tea lands","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_34.csv",""
42,"MWS-005","Proposal","Tea Land Management","Table 5.35: Five year plan MWS-005","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_35.csv",""
43,"MWS-005","Proposal","Tea Land Management","Table 5.36: Total estimated cost of production for the five-year period","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_36.csv",""
44,"MWS-005","Proposal","Livelihood Development","Table 5.37: Livelihood challenges and community expectations","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_37.csv",""
45,"MWS-005","Proposal","Livelihood Development","Table 5.38: Crop suitability","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_38.csv",""
46,"MWS-005","Proposal","Livelihood Development","Table 5.39:Total annual production of export agricultural products","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_39.csv",""
47,"MWS-005","Proposal","Livelihood Development","Table 5.40: Potential value-added production","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_40.csv",""
48,"MWS-005","Proposal","Livelihood Development","Table 5.41: Insurance service providers","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_41.csv",""
49,"MWS-005","Proposal","Livelihood Development","Table 5.42: Cost estimation of livelihood development activities","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_42.csv",""
50,"MWS-005","Proposal","Livelihood Development","Table 5.43: Timeframe for the implementation","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_43.csv",""
51,"MWS-005","Proposal","Training and Capacity Development","Table 5.44: Contents of the agriculture productivity improvement training","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_44.csv",""
52,"MWS-005","Proposal","Training and Capacity Development","Table 5.45: Recommended training programs for Livelihood development and marketing","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_45.csv",""
53,"MWS-005","Proposal","Training and Capacity Development","Table 5.46: Expenditure Estimate for training programs","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_46.csv",""
