No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Cost (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
34,511 F,Ketahira,9. Soil conservation practices - Ketahira (55°),2,On,7.062288,80.770664,20 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000.00","22,425,000.00",Labour and other basic services by the Local community,1 Year
35,511,Manakola,1. Renovation of natural drains - Hunuketa Torrent,5,Off,7.078888,80.785354,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
36,511,Manakola,2. Renovation of natural drains - Kakunawatta seasonal canal,3,Off,7.075574,80.786284,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
37,511,Manakola,3. Renovation of natural drains - Belihul Oya,3,Off,7.075587,80.786483,500 m,Clearing and planting some trees along the banks and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
38,511,Manakola,4. Renovation of natural drains - Kakunawatta Torrent,5,Off,7.07575,80.785067,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"40,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
39,511,Manakola,5. Soil conservation practices - Egodagela (80°),1,On,7.078919,80.785348,4 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.5 Years
40,511,Manakola,6. Soil conservation practices - Manakola (65°),3,On,7.075877,80.78654,2 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.25 Years
41,511,Manakola,7. Soil conservation practices - Manakola (70°),1,On,7.075723,80.785273,3.5 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"875,000.00",,Labour and other basic services by the Local community,0.25 Years
42,511,Manakola,8. Soil conservation practices - Kakuna Watta Area (70°),1,On,7.077072,80.785873,4 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.5 Years
43,511,Manakola,9. Establishing a side/Rubble masonry retaining wall - near Ketayapathana Udagama Road,3,Off,7.077717,80.786292,20 m x 1.8 m x 0.5,Side/Retaining wall,"2,000.00 m-3","36,000.00","3,851,000.00",Labour and other basic services by the Local community,0.25 Years
44,511 B,Marthuwela ,1. Renovation of natural drains - Pita Ela,4,Off,7.083659,80.788691,750 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"75,000.00",,Labour and other basic services by the Local community,0.25 Years
45,511 B,Marthuwela ,2. Soil conservation practices - Marthuwela (55°),4,On,7.083257,80.786904,2.5 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"625,000.00",,Labour and other basic services by the Local community,0.25 Years
46,511 B,Marthuwela ,3. Soil conservation practices - Gattumgamana reservation (80°) (Infront of about 1km),1,On,7.081064,80.786923,2 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"500,000.00","1,200,000.00",Labour and other basic services by the Local community,0.25 Years
47,511 C,Rathyaya,1. Renovation of natural drains - Pita ela in Ela Amuna Ela,4,Off,7.080778,80.780894,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community,0.25 Years
48,511 C,Rathyaya,2. Renovation of natural drains - Rathhinda Torrent,4,Off,7.080526,80.779695,1 km,Clearing and planting some trees along the banks and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community,0.5 Years
49,511 C,Rathyaya,3. Soil conservation practices - Ela Amuna reservation (75°),3,On,7.080417,80.779394,2 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.5 Years
50,511 C,Rathyaya,4. Soil conservation practices - Rathyaya (60°),1,On,7.080744,80.780211,0.5 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
51,511 C,Rathyaya,5. Soil conservation practices - Rathyaya (75°),4,On,7.080845,80.779877,0.25 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"62,500.00",,Labour and other basic services by the Local community,0.25 Years
52,511 C,Rathyaya,6. Soil conservation practices - Rathyaya Kondagala reservation (85°) (500m above),4,On,7.081787,80.779138,2.5 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"625,000.00",,Labour and other basic services by the Local community,0.5 Years
53,511 C,Rathyaya,7. Soil conservation practices - Rathyaya (45°),5,On,7.08363,80.783252,0.25 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"62,500.00","1,525,000.00",Labour and other basic services by the Local community,0.25 Years
54,510 A,Uda Padiyapelella ,1. Renovation of natural drains - Belihul Oya,1,Off,7.092453,80.797973,2 km,Clearing and planting some trees along the banks and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
55,510 A,Uda Padiyapelella ,2. Renovation of natural drains - Maha Torrent,4,Off,7.095711,80.797866,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
56,510 A,Uda Padiyapelella ,,5,,7.095724,80.796044,,,,,,,
57,510 A,Uda Padiyapelella ,3. Renovation of natural drains - Alakola Bokkuwa Torrent,4,Off,7.09195,80.796331,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
58,510 A,Uda Padiyapelella ,4. Soil conservation practices - Uda Padiyapelella (60°),5,,7.099718,80.79742,2 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.5 Years
59,510 A,Uda Padiyapelella ,5. Soil conservation practices - Bodhi Ela reservation (70°),5,On,7.091983,80.796333,6 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00","2,600,000.00",Labour and other basic services by the Local community,0.5 Years
60,510 B,Okandagala,No special issues are reported,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
